time,flare_class,xrsb_irrad,active_region
2014-03-02 23:19:00,M1.6,1.625e-05,1986.0
2014-03-03 15:58:00,M1.8,1.885e-05,1989.0
2014-03-04 04:55:00,M1.1,1.192e-05,1991.0
2014-03-04 11:24:00,M1.0,1.087e-05,
2014-03-08 23:41:00,M2.0,2.074e-05,
2014-03-09 13:32:00,M1.0,1.017e-05,
2014-03-09 13:58:00,M1.4,1.474e-05,2002.0
2014-03-09 14:42:00,M1.0,1.099e-05,2002.0
2014-03-09 20:28:00,M1.5,1.541e-05,2002.0
2014-03-10 00:26:00,M1.7,1.716e-05,2002.0
2014-03-10 04:08:00,M1.5,1.539e-05,
2014-03-10 15:28:00,M2.5,2.502e-05,
2014-03-10 23:00:00,M2.0,2.024e-05,1996.0
2014-03-11 03:50:00,M5.1,5.12e-05,1996.0
2014-03-11 12:07:00,M2.4,2.475e-05,
2014-03-11 16:26:00,M1.3,1.39e-05,2002.0
2014-03-11 19:46:00,M1.1,1.149e-05,
2014-03-12 07:57:00,M1.0,1.037e-05,1996.0
2014-03-12 11:05:00,M3.6,3.681e-05,1996.0
2014-03-12 22:34:00,X1.3,0.0001341,1996.0
2014-03-13 19:19:00,M1.8,1.858e-05,
2014-03-15 09:36:00,M1.0,1.09e-05,
2014-03-16 06:45:00,M1.0,1.046e-05,2003.0
2014-03-19 07:34:00,M1.4,1.427e-05,2010.0
2014-03-20 01:57:00,M1.2,1.201e-05,2014.0
2014-03-20 03:56:00,M2.4,2.495e-05,2010.0
2014-03-20 08:38:00,M1.3,1.301e-05,
2014-03-28 19:18:00,M2.9,2.924e-05,2017.0
2014-03-28 23:51:00,M3.7,3.79e-05,
2014-03-29 17:48:00,X1.4,0.000145,2017.0
2014-03-30 11:53:00,M3.1,3.119e-05,
2014-03-30 21:15:00,M1.0,1.079e-05,
2014-03-31 08:07:00,M2.0,2.051e-05,2014.0
2014-04-02 14:05:00,M9.3,9.351e-05,2027.0
2014-04-04 13:48:00,M1.1,1.19e-05,2027.0
2014-04-11 11:24:00,M1.3,1.347e-05,
2014-04-14 04:38:00,M1.0,1.071e-05,2036.0
2014-04-15 09:23:00,M1.2,1.233e-05,2035.0
2014-04-15 17:59:00,M1.0,1.06e-05,2035.0
2014-04-16 12:51:00,M1.0,1.072e-05,2035.0
2014-04-16 19:59:00,M1.4,1.465e-05,2035.0
2014-04-18 13:03:00,X1.0,0.0001048,
2014-04-22 11:37:00,M1.2,1.257e-05,2035.0
2014-04-25 00:27:00,X1.9,0.0001989,
2014-05-04 12:31:00,M1.3,1.321e-05,
2014-05-05 18:28:00,M1.1,1.148e-05,
2014-05-06 04:32:00,M1.0,1.026e-05,2051.0
2014-05-06 09:03:00,M2.6,2.647e-05,2051.0
2014-05-06 22:09:00,M1.5,1.539e-05,2051.0
2014-05-07 16:28:00,M1.7,1.721e-05,2051.0
2014-05-09 15:01:00,M1.1,1.125e-05,2058.0
2014-05-10 07:02:00,M1.2,1.249e-05,2056.0
2014-05-24 18:35:00,M1.9,1.997e-05,
2014-06-03 04:09:00,M2.0,2e-05,2077.0
2014-06-06 19:31:00,M2.0,2.022e-05,2080.0
2014-06-09 12:29:00,M1.2,1.295e-05,2085.0
2014-06-09 17:08:00,M1.2,1.264e-05,
2014-06-10 11:42:00,X3.1,0.0003173,2087.0
2014-06-10 12:52:00,X2.2,0.0002218,2087.0
2014-06-11 05:34:00,M2.6,2.609e-05,2080.0
2014-06-11 08:09:00,M4.3,4.323e-05,2087.0
2014-06-11 09:06:00,X1.4,0.0001426,2087.0
2014-06-11 21:03:00,M5.6,5.612e-05,2087.0
2014-06-12 04:21:00,M2.9,2.987e-05,2087.0
