time,start_time,end_time,flare_class,xrsb_irrad,active_region
2012-03-02 17:46:00,2012-03-02 17:23:00,2012-03-02 18:07:00,M4.8,4.854e-05,1429.0
2012-03-04 10:52:00,2012-03-04 10:24:00,2012-03-04 12:16:00,M2.9,2.905e-05,1429.0
2012-03-05 04:09:00,2012-03-05 02:22:00,2012-03-05 04:43:00,X1.6,0.0001636,1429.0
2012-03-05 15:29:00,2012-03-05 15:24:00,2012-03-05 15:33:00,M1.1,1.119e-05,1429.0
2012-03-05 16:22:00,2012-03-05 16:10:00,2012-03-05 16:26:00,M1.4,1.413e-05,1429.0
2012-03-05 19:16:00,2012-03-05 19:07:00,2012-03-05 19:22:00,M3.0,3.041e-05,1429.0
2012-03-06 00:28:00,2012-03-06 00:22:00,2012-03-06 00:31:00,M1.9,1.934e-05,1429.0
2012-03-06 03:28:00,2012-03-06 03:15:00,2012-03-06 03:32:00,M1.3,1.329e-05,1429.0
2012-03-06 04:05:00,2012-03-06 03:55:00,2012-03-06 04:08:00,M1.4,1.451e-05,1429.0
2012-03-06 12:41:00,2012-03-06 12:21:00,2012-03-06 12:54:00,M3.1,3.132e-05,1429.0
2012-03-07 00:24:00,2012-03-06 23:59:00,2012-03-07 00:40:00,X7.7,0.0007792,1429.0
