time,start_time,end_time,flare_class,xrsb_irrad,active_region
2014-10-18 07:59:00,2014-10-18 07:05:00,,M2.3,2.36e-05,2192.0
2014-10-20 06:02:00,2014-10-20 05:55:00,2014-10-20 06:08:00,M1.2,1.293e-05,2192.0
2014-10-20 09:11:00,2014-10-20 08:56:00,2014-10-20 09:20:00,M5.6,5.612e-05,2192.0
2014-10-20 15:24:00,2014-10-20 14:56:00,2014-10-20 15:41:00,M1.2,1.237e-05,2192.0
2014-10-20 16:33:00,2014-10-20 16:22:00,2014-10-20 16:47:00,M6.4,6.473e-05,2192.0
2014-10-20 22:55:00,2014-10-20 22:40:00,2014-10-20 23:13:00,M1.7,1.749e-05,2192.0
2014-10-22 14:28:00,2014-10-22 13:57:00,2014-10-22 14:50:00,X2.3,0.0002389,2192.0
2014-10-23 09:50:00,2014-10-23 09:39:00,2014-10-23 09:56:00,M1.6,1.632e-05,2192.0
2014-10-24 21:41:00,2014-10-24 21:23:00,2014-10-24 21:52:00,X4.5,0.000458,2192.0
2014-10-25 08:08:00,2014-10-25 07:38:00,,M1.3,1.323e-05,2192.0
2014-10-25 17:08:00,2014-10-25 16:24:00,,X1.4,0.0001495,2192.0
2014-10-26 06:21:00,2014-10-26 06:09:00,2014-10-26 06:26:00,M1.3,1.37e-05,2192.0
2014-10-26 10:56:00,2014-10-26 10:33:00,2014-10-26 11:18:00,X2.8,0.000288,2192.0
2014-10-26 13:09:00,2014-10-26 12:59:00,2014-10-26 13:17:00,M1.3,1.321e-05,2192.0
2014-10-27 00:34:00,2014-10-27 00:28:00,2014-10-27 00:36:00,X1.0,0.0001027,2192.0
2014-10-27 14:47:00,2014-10-27 14:04:00,2014-10-27 15:09:00,X2.9,0.0002965,2192.0
2014-10-28 02:42:00,2014-10-28 02:03:00,2014-10-28 03:11:00,M5.0,5.005e-05,2192.0
2014-10-28 14:06:00,2014-10-28 13:52:00,2014-10-28 14:24:00,M2.2,2.291e-05,2192.0
2014-10-29 14:33:00,2014-10-29 14:24:00,2014-10-29 14:51:00,M2.1,2.128e-05,2192.0
2014-10-30 04:28:00,2014-10-30 04:15:00,2014-10-30 04:36:00,M1.7,1.797e-05,2192.0
