time,start_time,end_time,flare_class,xrsb_irrad,active_region
2015-03-09 14:33:00,2015-03-09 14:21:00,2015-03-09 14:37:00,M6.5,6.504e-05,2297.0
2015-03-09 17:42:00,2015-03-09 17:31:00,2015-03-09 17:52:00,M1.3,1.316e-05,2297.0
2015-03-09 23:53:00,2015-03-09 23:24:00,2015-03-10 00:12:00,M8.3,8.378e-05,2297.0
2015-03-10 03:24:00,2015-03-10 03:21:00,2015-03-10 03:28:00,M7.4,7.433e-05,2297.0
2015-03-11 00:02:00,2015-03-10 23:56:00,2015-03-11 00:06:00,M4.1,4.161e-05,2297.0
2015-03-11 07:18:00,2015-03-11 07:10:00,,M2.7,2.702e-05,2297.0
2015-03-11 16:21:00,2015-03-11 16:09:00,2015-03-11 16:29:00,X3.1,0.0003151,2297.0
2015-03-11 18:51:00,2015-03-11 18:37:00,2015-03-11 18:57:00,M1.5,1.501e-05,2297.0
2015-03-12 14:08:00,2015-03-12 13:41:00,2015-03-12 14:13:00,M6.0,6.084e-05,2297.0
2015-03-14 04:40:00,2015-03-14 04:23:00,2015-03-14 04:54:00,M1.9,2e-05,2297.0
2015-03-15 02:13:00,2015-03-15 02:03:00,2015-03-15 02:15:00,M1.3,1.313e-05,2297.0
2015-03-16 10:58:00,2015-03-16 10:34:00,2015-03-16 11:17:00,M2.4,2.402e-05,2297.0
2015-03-16 20:49:00,2015-03-16 20:37:00,2015-03-16 21:00:00,M1.1,1.166e-05,2297.0
2015-03-17 23:34:00,2015-03-17 23:14:00,2015-03-17 23:46:00,M1.5,1.503e-05,2297.0
