time,start_time,end_time,flare_class,xrsb_irrad,active_region
2012-07-01 15:45:00,2012-07-01 15:39:00,2012-07-01 15:52:00,M1.1,1.187e-05,1515.0
2012-07-02 10:52:00,2012-07-02 10:43:00,2012-07-02 10:57:00,M8.0,8.08e-05,1515.0
2012-07-02 20:07:00,2012-07-02 19:59:00,2012-07-02 20:13:00,M5.4,5.466e-05,1515.0
2012-07-02 23:55:00,2012-07-02 23:49:00,2012-07-03 00:03:00,M2.9,2.932e-05,1515.0
2012-07-03 03:42:00,2012-07-03 03:33:00,2012-07-03 03:48:00,M1.4,1.427e-05,1515.0
2012-07-03 17:02:00,2012-07-03 16:56:00,2012-07-03 17:09:00,M1.3,1.302e-05,1515.0
2012-07-04 04:37:00,2012-07-04 04:28:00,2012-07-04 04:45:00,M3.3,3.351e-05,1515.0
2012-07-04 09:55:00,2012-07-04 09:46:00,2012-07-04 09:57:00,M7.6,7.671e-05,1515.0
2012-07-04 14:40:00,2012-07-04 14:33:00,2012-07-04 14:42:00,M1.8,1.877e-05,1515.0
2012-07-04 16:12:00,2012-07-04 16:06:00,2012-07-04 16:14:00,M1.0,1.001e-05,1515.0
2012-07-05 01:10:00,2012-07-05 01:00:00,2012-07-05 01:15:00,M3.5,3.549e-05,1515.0
2012-07-05 02:05:00,2012-07-05 02:00:00,,M1.0,1.014e-05,1515.0
2012-07-05 06:58:00,2012-07-05 06:44:00,2012-07-05 07:06:00,M1.6,1.673e-05,1515.0
2012-07-05 10:48:00,2012-07-05 10:41:00,2012-07-05 10:50:00,M2.5,2.593e-05,1515.0
2012-07-05 11:44:00,2012-07-05 11:42:00,2012-07-05 11:49:00,M8.8,8.899e-05,1515.0
2012-07-05 13:18:00,2012-07-05 13:03:00,2012-07-05 13:33:00,M1.7,1.794e-05,1515.0
2012-07-05 21:45:00,2012-07-05 21:36:00,2012-07-05 21:51:00,M2.3,2.339e-05,1515.0
2012-07-06 01:40:00,2012-07-06 01:28:00,2012-07-06 01:42:00,M4.2,4.275e-05,1515.0
2012-07-06 04:59:00,2012-07-06 04:47:00,,M1.1,1.112e-05,1515.0
2012-07-06 07:07:00,2012-07-06 06:59:00,2012-07-06 07:10:00,M1.0,1.063e-05,1515.0
2012-07-06 08:23:00,2012-07-06 08:12:00,2012-07-06 08:27:00,M2.1,2.195e-05,1515.0
2012-07-06 10:29:00,2012-07-06 10:01:00,2012-07-06 10:34:00,M2.6,2.699e-05,1515.0
2012-07-06 13:30:00,2012-07-06 13:19:00,2012-07-06 13:32:00,M1.8,1.89e-05,1515.0
2012-07-06 18:55:00,2012-07-06 18:44:00,2012-07-06 19:05:00,M1.9,1.923e-05,1515.0
2012-07-07 03:15:00,2012-07-07 03:10:00,2012-07-07 03:23:00,M1.7,1.735e-05,1515.0
2012-07-07 11:03:00,2012-07-07 10:57:00,2012-07-07 11:07:00,M3.7,3.769e-05,1515.0
2012-07-08 05:46:00,2012-07-08 05:40:00,2012-07-08 05:52:00,M1.9,1.927e-05,1515.0
2012-07-08 09:53:00,2012-07-08 09:44:00,2012-07-08 09:57:00,M1.6,1.605e-05,1515.0
2012-07-08 12:10:00,2012-07-08 12:01:00,2012-07-08 12:13:00,M2.1,2.146e-05,1515.0
2012-07-08 16:32:00,2012-07-08 16:18:00,2012-07-08 16:42:00,M9.9,9.934e-05,1515.0
2012-07-09 08:30:00,2012-07-09 08:01:00,2012-07-09 08:59:00,M1.1,1.144e-05,1515.0
